Date,Name,Price,Change_24h,Change_7d,MarketCap,Volume_24h
2025-09-17 12:29:37,BNB,$954.78,0.23%,2.71%,$132.89B,"$132,885,930,858"
2025-09-17 12:29:37,Solana,$235.89,0.14%,0.10%,$128.09B,"$128,091,596,166"
2025-09-17 12:29:37,USDC,$0.9999,0.02%,0.01%,$73.63B,"$73,629,525,074"
2025-09-17 12:29:37,Dogecoin,$0.2666,0.13%,0.19%,$40.25B,"$40,254,925,402"
2025-09-17 12:29:37,TRON,$0.3415,0.00%,1.25%,$32.33B,"$32,330,460,440"
2025-09-17 12:29:37,Cardano,$0.8748,0.20%,0.41%,$31.31B,"$31,313,512,501"
2025-09-17 12:38:13,Bitcoin,"$116,794.02",0.02%,1.03%,$2.33T,"$2,326,569,188,159"
2025-09-17 12:38:13,Ethereum,"$4,505.16",0.01%,0.07%,$544.15B,"$544,154,675,273"
2025-09-17 12:38:13,XRP,$3.01,0.15%,0.39%,$180.22B,"$180,219,502,573"
2025-09-17 12:38:13,Tether,$1.00,0.02%,0.02%,$171.02B,"$171,020,467,572"
2025-09-17 12:38:13,BNB,$955.39,0.30%,2.88%,$132.96B,"$132,960,807,306"
2025-09-17 12:38:13,Solana,$235.90,0.03%,0.07%,$128.1B,"$128,097,491,662"
2025-09-17 12:38:13,USDC,$0.9998,0.00%,0.02%,$73.62B,"$73,623,416,059"
2025-09-17 12:38:13,Dogecoin,$0.2671,0.03%,0.40%,$40.33B,"$40,334,159,316"
2025-09-17 12:38:13,TRON,$0.3416,0.04%,1.19%,$32.34B,"$32,342,941,919"
2025-09-17 12:38:13,Cardano,$0.8743,0.27%,0.55%,$31.29B,"$31,294,539,992"
2025-09-17 12:38:21,Bitcoin,"$116,794.02",0.02%,1.03%,$2.33T,"$2,326,569,188,159"
2025-09-17 12:38:21,Ethereum,"$4,505.16",0.01%,0.07%,$544.15B,"$544,154,675,273"
2025-09-17 12:38:21,XRP,$3.01,0.15%,0.39%,$180.22B,"$180,219,502,573"
2025-09-17 12:38:21,Tether,$1.00,0.02%,0.02%,$171.02B,"$171,020,467,572"
2025-09-17 12:38:21,BNB,$955.39,0.30%,2.88%,$132.96B,"$132,960,807,306"
2025-09-17 12:38:21,Solana,$235.90,0.03%,0.07%,$128.1B,"$128,097,491,662"
2025-09-17 12:38:21,USDC,$0.9998,0.00%,0.02%,$73.62B,"$73,623,416,059"
2025-09-17 12:38:21,Dogecoin,$0.2671,0.03%,0.40%,$40.33B,"$40,334,159,316"
2025-09-17 12:38:21,TRON,$0.3416,0.04%,1.19%,$32.34B,"$32,342,941,919"
2025-09-17 12:38:21,Cardano,$0.8743,0.27%,0.55%,$31.29B,"$31,294,539,992"
2025-09-17 15:38:29,Bitcoin,"$116,412.23",0.07%,0.90%,$2.32T,"$2,318,830,249,285"
2025-09-17 15:38:29,Ethereum,"$4,511.76",0.40%,0.25%,$544.25B,"$544,246,559,947"
2025-09-17 15:38:29,XRP,$3.02,0.32%,0.37%,$180.52B,"$180,519,575,832"
2025-09-17 15:38:29,Tether,$1.00,0.00%,0.01%,$171.01B,"$171,007,648,476"
2025-09-17 15:38:29,BNB,$952.75,0.33%,2.75%,$132.58B,"$132,583,197,252"
2025-09-17 15:38:29,Solana,$234.78,0.15%,0.28%,$127.49B,"$127,490,778,812"
2025-09-17 15:38:29,USDC,$0.9998,0.00%,0.01%,$73.61B,"$73,612,306,713"
2025-09-17 15:38:29,Dogecoin,$0.2662,0.10%,0.39%,$40.19B,"$40,194,055,684"
2025-09-17 15:38:29,TRON,$0.3414,0.05%,1.39%,$32.32B,"$32,322,125,789"
2025-09-17 15:38:29,Cardano,$0.8717,0.31%,0.17%,$31.2B,"$31,202,418,010"
2025-09-17 15:39:05,Bitcoin,"$116,412.23",0.07%,0.90%,$2.32T,"$2,318,830,249,285"
2025-09-17 15:39:05,Ethereum,"$4,511.76",0.40%,0.25%,$544.25B,"$544,246,559,947"
2025-09-17 15:39:05,XRP,$3.02,0.32%,0.37%,$180.52B,"$180,519,575,832"
2025-09-17 15:39:05,Tether,$1.00,0.00%,0.01%,$171.01B,"$171,007,648,476"
2025-09-17 15:39:05,BNB,$952.75,0.33%,2.75%,$132.58B,"$132,583,197,252"
2025-09-17 15:39:05,Solana,$234.78,0.15%,0.28%,$127.49B,"$127,490,778,812"
2025-09-17 15:39:05,USDC,$0.9998,0.00%,0.01%,$73.61B,"$73,612,306,713"
2025-09-17 15:39:05,Dogecoin,$0.2662,0.10%,0.39%,$40.19B,"$40,194,055,684"
2025-09-17 15:39:05,TRON,$0.3414,0.05%,1.39%,$32.32B,"$32,322,125,789"
2025-09-17 15:39:05,Cardano,$0.8717,0.31%,0.17%,$31.2B,"$31,202,418,010"
2025-09-17 17:36:11,Bitcoin,"$115,558.59",0.62%,0.46%,$2.31T,"$2,307,559,079,918"
2025-09-17 17:36:11,Ethereum,"$4,472.38",0.74%,0.72%,$541.84B,"$541,839,332,709"
2025-09-17 17:36:11,XRP,$3.02,0.09%,0.23%,$180.83B,"$180,831,670,328"
2025-09-17 17:36:11,Tether,$1.00,0.01%,0.03%,$171.02B,"$171,023,369,034"
2025-09-17 17:36:11,BNB,$949.48,0.40%,2.57%,$132.3B,"$132,302,975,055"
2025-09-17 17:36:11,Solana,$235.22,0.05%,1.17%,$127.73B,"$127,728,742,002"
2025-09-17 17:36:11,USDC,$0.9998,0.01%,0.00%,$73.53B,"$73,528,179,676"
2025-09-17 17:36:11,Dogecoin,$0.2655,0.68%,2.15%,$40.1B,"$40,097,700,664"
2025-09-17 17:36:11,TRON,$0.3404,0.29%,0.96%,$32.23B,"$32,229,034,654"
2025-09-17 17:36:11,Cardano,$0.8695,0.38%,0.86%,$31.12B,"$31,122,264,378"
2026-01-21 09:00:02,CoinMarketCap 20 Index DTF CMC20,$187.06,0.19%,2.57%,$6.59M,"$6,594,661"
2026-01-21 09:00:02,Bitcoin,"$89,461.51",0.49%,1.48%,$1.79T,"$1,787,612,278,703"
2026-01-21 09:00:02,Ethereum,"$2,973.43",0.62%,4.49%,$359.18B,"$359,175,907,310"
2026-01-21 09:00:02,Tether,$0.9988,0.00%,0.01%,$186.81B,"$186,807,637,333"
2026-01-21 09:00:02,BNB,$877.35,0.67%,4.06%,$119.75B,"$119,750,436,114"
2026-01-21 09:00:02,XRP,$1.91,0.31%,1.70%,$116.49B,"$116,489,650,020"
2026-01-21 09:00:02,USDC,$0.9998,0.02%,0.02%,$74.86B,"$74,862,523,542"
2026-01-21 09:00:02,Solana,$128.08,0.35%,2.75%,$72.46B,"$72,460,846,640"
2026-01-21 09:00:02,TRON,$0.2974,0.14%,4.79%,$28.17B,"$28,167,893,946"
2026-01-21 09:00:02,Dogecoin,$0.1251,0.78%,1.39%,$21.07B,"$21,072,753,435"
